Municípios	Total Doses Enviadas	Doses Aplicadas (D1)	Doses Aplicadas (D2)	Doses Aplicadas (D3)	Doses Aplicadas (DU)	Total Doses Aplicadas	% de Doses Aplicadas sobre Doses Enviadas (Total)
Água Clara	19.763	12.106	5.307	284	791	18.488	93,55%
Alcinópolis	6.607	3.672	2.635	156	299	6.762	102,35%
Amambai	51.603	25.690	19.207	1.059	2.197	48.153	93,31%
Anastácio	30.230	16.059	11.154	544	1.162	28.919	95,66%
Anaurilândia	11.549	5.942	3.832	401	463	10.638	92,11%
Angélica	14.379	8.292	5.144	252	650	14.338	99,71%
Antônio João	11.802	5.568	4.018	165	2.336	12.087	102,41%
Aparecida do Taboado	35.480	20.595	11.491	529	1.281	33.896	95,54%
Aquidauana	68.278	33.467	24.868	1.937	2.470	62.742	91,89%
Aral Moreira	12.750	5.728	4.286	380	2.573	12.967	101,70%
Bandeirantes	10.732	5.476	3.130	87	350	9.043	84,26%
Bataguassu	30.455	17.160	11.132	702	1.188	30.182	99,10%
Batayporã	13.279	7.849	5.263	294	603	14.009	105,50%
Bela Vista	28.440	11.934	8.639	630	6.448	27.651	97,23%
Bodoquena	10.406	5.675	3.600	268	420	9.963	95,74%
Bonito	28.743	16.090	9.648	838	1.537	28.113	97,81%
Brasilândia	15.851	8.912	6.149	489	600	16.150	101,89%
Caarapó	37.983	20.426	15.048	801	2.571	38.846	102,27%
Camapuã	19.884	10.695	7.637	761	676	19.769	99,42%
Campo Grande	1.226.068	634.153	451.400	35.278	45.549	1.166.380	95,13%
Caracol	6.788	2.744	2.111	221	1.682	6.758	99,56%
Cassilândia	30.460	16.967	12.623	1.434	1.138	32.162	105,59%
Chapadão do Sul	37.661	21.629	12.225	561	3.112	37.527	99,64%
Corguinho	7.168	3.826	2.396	193	285	6.700	93,47%
Coronel Sapucaia	18.129	8.822	6.104	240	1.463	16.629	91,73%
Corumbá	126.367	52.617	41.446	4.616	26.397	125.076	98,98%
Costa Rica	32.538	17.796	11.093	537	2.674	32.100	98,65%
Coxim	45.706	24.719	15.573	1.094	1.906	43.292	94,72%
Deodápolis	17.302	9.665	6.198	370	636	16.869	97,50%
Dois Irmãos do Buriti	15.747	7.822	6.326	413	606	15.167	96,32%
Douradina	7.248	3.924	3.191	323	320	7.758	107,04%
Dourados	318.976	166.337	99.349	3.005	13.462	282.153	88,46%
Eldorado	15.649	8.104	5.101	148	859	14.212	90,82%
Fátima do Sul	30.321	16.094	11.964	1.201	903	30.162	99,48%
Figueirão	3.999	2.450	1.505	97	158	4.210	105,28%
Glória de Dourados	13.360	7.550	5.334	463	536	13.883	103,91%
Guia Lopes da Laguna	12.969	6.945	4.609	439	448	12.441	95,93%
Iguatemi	18.453	10.004	6.924	135	1.090	18.153	98,37%
Inocência	11.420	6.303	4.285	570	411	11.569	101,30%
Itaporã	25.138	12.819	9.711	946	1.134	24.610	97,90%
Itaquiraí	24.269	13.775	9.015	483	1.037	24.310	100,17%
Ivinhema	35.214	20.156	12.693	494	1.357	34.700	98,54%
Japorã	10.970	5.546	4.944	203	402	11.095	101,14%
Jaraguari	9.359	4.796	3.576	419	331	9.122	97,47%
Jardim	31.348	17.639	11.784	1.521	1.746	32.690	104,28%
Jateí	5.140	3.242	1.587	135	216	5.180	100,78%
Juti	8.486	4.979	3.223	269	353	8.824	103,98%
Ladário	23.516	10.977	7.725	585	4.176	23.463	99,77%
Laguna Carapã	8.718	4.449	3.899	246	574	9.168	105,16%
Maracaju	49.499	26.871	18.757	1.057	2.512	49.197	99,39%
Miranda	36.148	18.540	13.342	880	1.326	34.088	94,30%
Mundo Novo	23.314	9.267	6.956	239	6.660	23.122	99,18%
Naviraí	59.909	35.106	18.763	1.143	3.031	58.043	96,89%
Nioaque	18.449	9.628	6.770	449	653	17.500	94,86%
Nova Alvorada do Sul	24.671	13.734	8.496	498	2.145	24.873	100,82%
Nova Andradina	61.838	35.311	22.623	941	2.994	61.869	100,05%
Novo Horizonte do Sul	6.143	3.595	2.119	173	170	6.057	98,60%
Paraíso das Águas	6.958	4.077	2.626	103	298	7.104	102,10%
Paranaíba	62.397	37.298	19.153	1.814	2.000	60.265	96,58%
Paranhos	16.045	7.665	5.853	251	1.756	15.525	96,76%
Pedro Gomes	10.265	5.793	4.473	381	421	11.068	107,82%
Ponta Porã	116.738	44.593	30.598	2.796	39.011	116.998	100,22%
Porto Murtinho	17.585	7.964	6.084	384	2.652	17.084	97,15%
Ribas do Rio Pardo	27.126	15.194	9.015	362	1.281	25.852	95,30%
Rio Brilhante	47.318	24.924	14.672	545	1.897	42.038	88,84%
Rio Negro	6.861	4.089	2.582	307	224	7.202	104,97%
Rio Verde de MT	25.175	13.479	8.717	832	1.064	24.092	95,70%
Rochedo	7.336	3.961	2.559	202	264	6.986	95,23%
Santa Rita do Pardo	9.429	5.544	3.749	304	428	10.025	106,32%
São Gabriel do Oeste	34.640	21.049	12.661	823	1.846	36.379	105,02%
Selvíria	10.740	5.914	3.355	368	348	9.985	92,97%
Sete Quedas	14.411	4.682	4.637	329	4.010	13.658	94,77%
Sidrolândia	61.703	31.246	22.399	1.532	2.848	58.025	94,04%
Sonora	19.210	10.568	6.422	166	1.079	18.235	94,92%
Tacuru	13.768	6.535	5.416	320	529	12.800	92,97%
Taquarussu	4.766	2.630	1.787	186	189	4.792	100,55%
Terenos	25.765	13.283	8.471	740	1.059	23.553	91,41%
Três Lagoas	164.285	92.444	52.851	3.071	8.350	156.716	95,39%
Vicentina	9.521	5.249	3.518	347	284	9.398	98,71%
-	66	0	0	0	0	0	0,00%